Run: 293, exploration: 0, score: 380, time: 82.1559226512909
Run: 294, exploration: 0, score: 369, time: 82.48692488670349
Run: 295, exploration: 0, score: 141, time: 82.74723410606384
Run: 296, exploration: 0, score: 202, time: 83.01547169685364
Run: 297, exploration: 0, score: 276, time: 83.28659439086914
Run: 298, exploration: 0, score: 972, time: 83.64497900009155
Run: 299, exploration: 0, score: 173, time: 83.92186069488525
Run: 300, exploration: 0, score: 289, time: 85.84848308563232
Run: 301, exploration: 0, score: 351, time: 86.190349817276
Run: 302, exploration: 0, score: 270, time: 86.48184609413147
Run: 303, exploration: 0, score: 460, time: 86.80425763130188
Run: 304, exploration: 0, score: 541, time: 87.09617209434509
Run: 305, exploration: 0, score: 280, time: 87.43657898902893
Run: 306, exploration: 0, score: 280, time: 87.69837164878845
Run: 307, exploration: 0, score: 144, time: 87.9548749923706
Run: 308, exploration: 0, score: 877, time: 88.37855362892151
Run: 309, exploration: 0, score: 419, time: 88.6943690776825
Run: 310, exploration: 0, score: 271, time: 88.97610664367676
Run: 311, exploration: 0, score: 457, time: 89.27748560905457
Run: 312, exploration: 0, score: 510, time: 89.5980474948883
Run: 313, exploration: 0, score: 366, time: 89.91989374160767
Run: 314, exploration: 0, score: 464, time: 90.28115224838257
Run: 315, exploration: 0, score: 171, time: 90.64149904251099
Run: 316, exploration: 0, score: 338, time: 90.96081948280334
Run: 317, exploration: 0, score: 640, time: 91.3108127117157
Run: 318, exploration: 0, score: 307, time: 91.62199854850769
Run: 319, exploration: 0, score: 436, time: 91.95689105987549
Run: 320, exploration: 0, score: 605, time: 92.24983954429626
Run: 321, exploration: 0, score: 295, time: 92.5338397026062
Run: 322, exploration: 0, score: 226, time: 92.8141577243805
Run: 323, exploration: 0, score: 221, time: 93.06811141967773
Run: 324, exploration: 0, score: 198, time: 93.34118413925171
Run: 325, exploration: 0, score: 188, time: 93.60257840156555
Run: 326, exploration: 0, score: 244, time: 93.92074656486511
Run: 327, exploration: 0, score: 389, time: 94.19580602645874
Run: 328, exploration: 0, score: 294, time: 94.46120882034302
Run: 329, exploration: 0, score: 379, time: 94.72920322418213
Run: 330, exploration: 0, score: 281, time: 94.99550724029541
Run: 331, exploration: 0, score: 214, time: 95.26652836799622
Run: 332, exploration: 0, score: 149, time: 95.52096962928772
Run: 333, exploration: 0, score: 338, time: 95.78568768501282
Run: 334, exploration: 0, score: 197, time: 96.0537052154541
Run: 335, exploration: 0, score: 309, time: 96.32527208328247
Run: 336, exploration: 0, score: 309, time: 96.61941599845886
Run: 337, exploration: 0, score: 768, time: 97.07804036140442
Run: 338, exploration: 0, score: 185, time: 97.3735761642456
Run: 339, exploration: 0, score: 490, time: 97.70250678062439
Run: 340, exploration: 0, score: 171, time: 97.97464799880981
Run: 341, exploration: 0, score: 219, time: 98.25172781944275
Run: 342, exploration: 0, score: 478, time: 98.53143787384033
Run: 343, exploration: 0, score: 368, time: 98.83345818519592
Run: 344, exploration: 0, score: 172, time: 99.09993696212769
Run: 345, exploration: 0, score: 163, time: 99.39474821090698
Run: 346, exploration: 0, score: 438, time: 99.68171000480652
Run: 347, exploration: 0, score: 247, time: 99.95835375785828
Run: 348, exploration: 0, score: 397, time: 100.2957923412323
Run: 349, exploration: 0, score: 329, time: 100.56730842590332
Run: 350, exploration: 0, score: 331, time: 100.86708498001099
Run: 351, exploration: 0, score: 1014, time: 101.19893050193787
Run: 352, exploration: 0, score: 546, time: 101.49022126197815
Run: 353, exploration: 0, score: 181, time: 101.75952768325806
Run: 354, exploration: 0, score: 312, time: 102.04339599609375
Run: 355, exploration: 0, score: 194, time: 102.31926441192627
Run: 356, exploration: 0, score: 194, time: 102.59776711463928
Run: 357, exploration: 0, score: 405, time: 102.9145565032959
Run: 358, exploration: 0, score: 294, time: 103.18652868270874
Run: 359, exploration: 0, score: 693, time: 103.55851745605469
Run: 360, exploration: 0, score: 8, time: 103.92361640930176
Run: 361, exploration: 0, score: 265, time: 104.28619360923767
Run: 362, exploration: 0, score: 418, time: 104.61023902893066
Run: 363, exploration: 0, score: 331, time: 104.89787745475769
Run: 364, exploration: 0, score: 504, time: 105.20568013191223
Run: 365, exploration: 0, score: 225, time: 105.48254585266113
Run: 366, exploration: 0, score: 333, time: 105.77889323234558
Run: 367, exploration: 0, score: 804, time: 106.09796929359436
Run: 368, exploration: 0, score: 312, time: 106.40745401382446
Run: 369, exploration: 0, score: 574, time: 106.73907780647278
Run: 370, exploration: 0, score: 753, time: 107.20014524459839
Run: 371, exploration: 0, score: 981, time: 107.54248380661011
Run: 372, exploration: 0, score: 220, time: 107.82955169677734
Run: 373, exploration: 0, score: 220, time: 108.09764289855957
Run: 374, exploration: 0, score: 227, time: 108.38253164291382
Run: 375, exploration: 0, score: 290, time: 108.66986203193665
Run: 376, exploration: 0, score: 741, time: 109.0261001586914
Run: 377, exploration: 0, score: 416, time: 109.34013819694519
Run: 378, exploration: 0, score: 1211, time: 109.69926452636719
Run: 379, exploration: 0, score: 217, time: 109.99541711807251
Run: 380, exploration: 0, score: 375, time: 110.36215281486511
Run: 381, exploration: 0, score: 377, time: 110.63344955444336
Run: 382, exploration: 0, score: 301, time: 110.92772912979126
Run: 383, exploration: 0, score: 1130, time: 111.29179000854492
Run: 384, exploration: 0, score: 355, time: 111.59858846664429
Run: 385, exploration: 0, score: 117, time: 111.86556339263916
Run: 386, exploration: 0, score: 156, time: 112.15846538543701
Run: 387, exploration: 0, score: 645, time: 112.45808053016663
Run: 388, exploration: 0, score: 167, time: 112.73004460334778
Run: 389, exploration: 0, score: 528, time: 113.06429839134216
Run: 390, exploration: 0, score: 400, time: 113.37501358985901
Run: 391, exploration: 0, score: 192, time: 113.65920758247375
Run: 392, exploration: 0, score: 179, time: 114.00160050392151
Run: 393, exploration: 0, score: 209, time: 114.2944700717926
Run: 394, exploration: 0, score: 497, time: 114.63435220718384
Run: 395, exploration: 0, score: 577, time: 114.97557187080383
Run: 396, exploration: 0, score: 157, time: 115.2735276222229
Run: 397, exploration: 0, score: 349, time: 115.57164359092712
Run: 398, exploration: 0, score: 396, time: 115.87225437164307
Run: 399, exploration: 0, score: 362, time: 116.19191861152649
Run: 400, exploration: 0, score: 168, time: 117.55342960357666
Run: 401, exploration: 0, score: 1420, time: 117.9941918849945
Run: 402, exploration: 0, score: 142, time: 118.36769413948059
Run: 403, exploration: 0, score: 605, time: 118.68615508079529
Run: 404, exploration: 0, score: 294, time: 119.0032708644867
Run: 405, exploration: 0, score: 919, time: 119.33328032493591
Run: 406, exploration: 0, score: 178, time: 119.61814761161804
Run: 407, exploration: 0, score: 973, time: 119.99993681907654
Run: 408, exploration: 0, score: 503, time: 120.38718628883362
Run: 409, exploration: 0, score: 296, time: 120.69393706321716
Run: 410, exploration: 0, score: 399, time: 120.9824960231781
Run: 411, exploration: 0, score: 479, time: 121.27480459213257
Run: 412, exploration: 0, score: 677, time: 121.63900876045227
Run: 413, exploration: 0, score: 572, time: 121.98325228691101
Run: 414, exploration: 0, score: 413, time: 122.28295969963074
Run: 415, exploration: 0, score: 462, time: 122.56820750236511
Run: 416, exploration: 0, score: 728, time: 122.90135502815247
Run: 417, exploration: 0, score: 524, time: 123.26654887199402
Run: 418, exploration: 0, score: 448, time: 123.61250758171082
Run: 419, exploration: 0, score: 496, time: 123.94504857063293
Run: 420, exploration: 0, score: 536, time: 124.26748061180115
Run: 421, exploration: 0, score: 153, time: 124.63968753814697
Run: 422, exploration: 0, score: 742, time: 124.99165987968445
Run: 423, exploration: 0, score: 676, time: 125.35266160964966
Run: 424, exploration: 0, score: 375, time: 125.80843997001648
Run: 425, exploration: 0, score: 785, time: 126.15338706970215
Run: 426, exploration: 0, score: 276, time: 126.45753288269043
Run: 427, exploration: 0, score: 316, time: 126.73956823348999
Run: 428, exploration: 0, score: 137, time: 127.00076055526733
Run: 429, exploration: 0, score: 299, time: 127.27554869651794
Run: 430, exploration: 0, score: 629, time: 127.57937431335449
Run: 431, exploration: 0, score: 220, time: 127.8370053768158
Run: 432, exploration: 0, score: 543, time: 128.15546941757202
Run: 433, exploration: 0, score: 479, time: 128.50311136245728
Run: 434, exploration: 0, score: 769, time: 128.833105802536
Run: 435, exploration: 0, score: 320, time: 129.12613344192505
Run: 436, exploration: 0, score: 704, time: 129.52133703231812
Run: 437, exploration: 0, score: 386, time: 129.83929133415222
Run: 438, exploration: 0, score: 255, time: 130.16843843460083
Run: 439, exploration: 0, score: 665, time: 130.48252534866333
Run: 440, exploration: 0, score: 379, time: 130.7698495388031
Run: 441, exploration: 0, score: 758, time: 131.08928680419922
Run: 442, exploration: 0, score: 251, time: 131.3610851764679
Run: 443, exploration: 0, score: 653, time: 131.73361539840698
Run: 444, exploration: 0, score: 173, time: 132.00379920005798
Run: 445, exploration: 0, score: 191, time: 132.28174805641174
Run: 446, exploration: 0, score: 541, time: 132.5683090686798
Run: 447, exploration: 0, score: 147, time: 132.83568596839905
Run: 448, exploration: 0, score: 858, time: 133.1577455997467
Run: 449, exploration: 0, score: 235, time: 133.44584774971008
Run: 450, exploration: 0, score: 233, time: 133.73014283180237
Run: 451, exploration: 0, score: 693, time: 134.063472032547
Run: 452, exploration: 0, score: 459, time: 134.35705661773682
Run: 453, exploration: 0, score: 476, time: 134.63867568969727
Run: 454, exploration: 0, score: 656, time: 134.9703230857849
Run: 455, exploration: 0, score: 355, time: 135.2695107460022
